id,fullName,season,age,weight,height,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8477493,Aleksander Barkov,2021 - 2022,26-151d,215,"6' 3""",1360:19,49.0,39.0,18.0,214.0,67,50.0,12.0,26.0,233:37,982:02,18,56.95,18.2,5.0,2.0,4.0,5.0,144:40,42.0,36.0,88.0,1559.0,,,,,,,,,,,,,,,,,,,,
8477932,Aaron Ekblad,2014 - 2015,18-358d,215,"6' 4""",1766:37,27.0,12.0,32.0,170.0,81,109.0,6.0,13.0,227:24,1504:41,32,0.0,7.06,4.0,0.0,0.0,0.0,34:32,80.0,12.0,39.0,1966.0,,,,,,,,,,,,,,,,,,,,
8477932,Aaron Ekblad,2015 - 2016,19-358d,215,"6' 4""",1690:49,21.0,15.0,41.0,182.0,78,87.0,3.0,9.0,221:15,1411:37,41,0.0,8.24,4.0,0.0,0.0,0.0,57:57,59.0,18.0,36.0,1878.0,,,,,,,,,,,,,,,,,,,,
8477932,Aaron Ekblad,2016 - 2017,20-359d,215,"6' 4""",1459:17,11.0,10.0,58.0,225.0,68,88.0,4.0,8.0,189:29,1214:38,58,0.0,4.44,2.0,1.0,1.0,1.0,55:10,62.0,-23.0,21.0,1618.0,,,,,,,,,,,,,,,,,,,,
8477932,Aaron Ekblad,2017 - 2018,21-358d,215,"6' 4""",1917:54,22.0,16.0,71.0,189.0,82,69.0,5.0,11.0,174:23,1559:42,71,0.0,8.47,4.0,1.0,0.0,0.0,183:49,121.0,9.0,38.0,2376.0,,,,,,,,,,,,,,,,,,,,
8477932,Aaron Ekblad,2018 - 2019,22-358d,215,"6' 4""",1938:49,24.0,13.0,47.0,180.0,82,114.0,5.0,10.0,139:17,1610:48,47,0.0,7.22,1.0,1.0,0.0,0.0,188:44,88.0,1.0,37.0,2468.0,,,,,,,,,,,,,,,,,,,,
8477932,Aaron Ekblad,2019 - 2020,23-358d,215,"6' 4""",1539:25,36.0,5.0,26.0,147.0,67,34.0,0.0,6.0,96:47,1306:29,26,0.0,3.4,1.0,1.0,0.0,1.0,136:09,84.0,12.0,41.0,1838.0,,,,,,,,,,,,,,,,,,,,
8477932,Aaron Ekblad,2020 - 2021,24-359d,215,"6' 4""",878:11,11.0,11.0,33.0,101.0,35,24.0,6.0,11.0,135:50,654:16,33,0.0,10.9,3.0,1.0,0.0,0.0,88:05,27.0,5.0,22.0,1018.0,,,,,,,,,,,,,,,,,,,,
8477932,Aaron Ekblad,2021 - 2022,25-358d,215,"6' 4""",1520:12,42.0,15.0,26.0,180.0,61,62.0,3.0,20.0,214:17,1135:14,26,0.0,8.3,2.0,2.0,0.0,3.0,170:41,69.0,38.0,57.0,1831.0,,,,,,,,,,,,,,,,,,,,
8466141,Roberto Luongo,2014 - 2015,35-302d,215,"6' 3""",3528:11,,,,,61,,,,,,,,,,,,,,,,,,12.0,2.0,28.0,19.0,1605.0,248.0,35.0,1322.0,38.0,1418.0,287.0,0.920826,2.346817,61.0,1743.0,138.0,86.41114982578398,92.10526315789474,93.22990126939351,
8466141,Roberto Luongo,2015 - 2016,36-302d,215,"6' 3""",3601:51,,,,,62,,,,,,,,,,,,,,,,,,6.0,4.0,35.0,19.0,1660.0,263.0,40.0,1357.0,43.0,1449.0,309.0,0.92171,2.348793,60.0,1801.0,141.0,85.11326860841424,93.02325581395348,93.65079365079364,
